prompt,modified_prompt
"a beautiful woman wearing day of the dead make - up, in the style of street art","a beautiful woman wearing day of the dead make - up, in the style of street art with dramatic shadows"
kirk hammett painting by ravi varma,kirk hammett painting by ravi varma in vibrant colors
"portrait of crazy peter venkman, symmetrical, by yoichi hatakenaka, masamune shirow, josan gonzales and dan mumford, ayami kojima, takato yamamoto, barclay shaw, karol bak, yukito kishiro","portrait of crazy peter venkman, symmetrical, by yoichi hatakenaka, masamune shirow, josan gonzales and dan mumford, ayami kojima, takato yamamoto, barclay shaw, karol bak, yukito kishiro with dramatic shadows"
"portrait ultra dimensional freddy fazbear entity, accidentally tripping on dmt and acid, psychedelic experience, overwhelming psychosis of self realization and burning awakening, ultra high definition, unreal engine 5, hyperrealism, masterpiece composition, by casey weldon, barclay shaw 8 k photorealistic","portrait ultra dimensional freddy fazbear entity, accidentally tripping on dmt and acid, psychedelic experience, overwhelming psychosis of self realization and burning awakening, ultra high definition, unreal engine 5, hyperrealism, masterpiece composition, by casey weldon, barclay shaw 8 k photorealistic in high contrast"
"“diamonds, pigs, weeds, bagels, pig, strawberries, blueberries, raspberries, diamonds, bovine, pathology, syringe, lightning symbol, pigs, pork, formulae, giant pig, weeds and grass, math equations, crystals, plants, scientific glassware, neo-expressionist style, by Jean-Michel Basquiat”","“diamonds, pigs, weeds, bagels, pig, strawberries, blueberries, raspberries, diamonds, bovine, pathology, syringe, lightning symbol, pigs, pork, formulae, giant pig, weeds and grass, math equations, crystals, plants, scientific glassware, neo-expressionist style, by Jean-Michel Basquiat” in high contrast"
"cyberpunk robotic donald trump, sharp lines, digital, artstation, colored in","cyberpunk robotic donald trump, sharp lines, digital, artstation, colored in in vibrant colors"
"A beautiful illustration of God playing Russian roulette, trending on artstation, WLOP ,cgsociety by Gediminas Pranckevicius, trending on cgsociety, James R. Eads, bokeh, fractal Thunder glow by dan mumford","A beautiful illustration of God playing Russian roulette, trending on artstation, WLOP ,cgsociety by Gediminas Pranckevicius, trending on cgsociety, James R. Eads, bokeh, fractal Thunder glow by dan mumford in vibrant colors"
"beautiful oil matte portrait painting, 8 0 s punk sitting on top of the berlin wall drinking beer, wonderful masterpiece highly detailed, beautiful cinematic light deep focus, elegant, digital painting, smooth, sharp focus, golden ratio, dramatic illumination, ultra realistic, 8 k, art by jimmy law","beautiful oil matte portrait painting, 8 0 s punk sitting on top of the berlin wall drinking beer, wonderful masterpiece highly detailed, beautiful cinematic light deep focus, elegant, digital painting, smooth, sharp focus, golden ratio, dramatic illumination, ultra realistic, 8 k, art by jimmy law in vibrant colors"
"Bill gates crossdressing in victorian gown, drawn in the style of yoji shinkawa, extremely detailed, detailed and realistic face","Bill gates crossdressing in victorian gown, drawn in the style of yoji shinkawa, extremely detailed, detailed and realistic face with dim lighting"
"3 d goddess butterfly face portrait, sigma 5 0 0 mm f / 5. beautiful intricate highly detailed quetzalcoatl skull and feathers. bioluminescent, plasma, lava, ice, water, wind, creature, thunderstorm! artwork by tooth wu and wlop and beeple and greg rutkowski, 8 k trending on artstation,","3 d goddess butterfly face portrait, sigma 5 0 0 mm f / 5. beautiful intricate highly detailed quetzalcoatl skull and feathers. bioluminescent, plasma, lava, ice, water, wind, creature, thunderstorm! artwork by tooth wu and wlop and beeple and greg rutkowski, 8 k trending on artstation, in high contrast"
"brad pitts face inside a giant peach fruit, ef 8 5 mm f 1. 8 usm, bionic scifi alexandre ferra, hyper detailed, digital art, trending in artstation, cinematic lighting, studio quality, smooth render, unreal engine 5 rendered, octane rendered","brad pitts face inside a giant peach fruit, ef 8 5 mm f 1. 8 usm, bionic scifi alexandre ferra, hyper detailed, digital art, trending in artstation, cinematic lighting, studio quality, smooth render, unreal engine 5 rendered, octane rendered with dim lighting"
"young laura ingalls from little house on the prairie as a zombie, 7 days to die zombie, fine art, award winning, intricate, elegant, sharp focus, cinematic lighting, highly detailed, digital painting, 8 k concept art, art by guweiz and z. w. gu, masterpiece, trending on artstation, 8 k","young laura ingalls from little house on the prairie as a zombie, 7 days to die zombie, fine art, award winning, intricate, elegant, sharp focus, cinematic lighting, highly detailed, digital painting, 8 k concept art, art by guweiz and z. w. gu, masterpiece, trending on artstation, 8 k with a cinematic atmosphere"
"beautiful masterpiece painting of a futuristic city under the sea, cyberpunk, by juan ortiz 8k,","beautiful masterpiece painting of a futuristic city under the sea, cyberpunk, by juan ortiz 8k, with a cinematic atmosphere"
"hila klein, weird modern fashion, half body shot, photo by greg rutkowski, f / 2 0, symmetrical face, warm colors, depth of field","hila klein, weird modern fashion, half body shot, photo by greg rutkowski, f / 2 0, symmetrical face, warm colors, depth of field with dim lighting"
"star wars luke and leia and r 2 d 2 endor, jesper ejsing, james jean, justin gerard, tomasz alen kopera, cgsociety, fenghua zhong, makoto shinkai, highly detailed, rim light, art, cinematic lighting, very coherent, hyper realism, high detail, 8 k","star wars luke and leia and r 2 d 2 endor, jesper ejsing, james jean, justin gerard, tomasz alen kopera, cgsociety, fenghua zhong, makoto shinkai, highly detailed, rim light, art, cinematic lighting, very coherent, hyper realism, high detail, 8 k in high contrast"
"portrait of warhammer eldar, 8 k uhd, unreal engine, octane render in the artstyle of finnian macmanus, john park and greg rutkowski","portrait of warhammer eldar, 8 k uhd, unreal engine, octane render in the artstyle of finnian macmanus, john park and greg rutkowski in high contrast"
"iron man sitting in front of computer and eating chips with coca cola, sci fi concept art, trending on artstation, highly detailed, intricate, sharp focus, digital art, 8 k","iron man sitting in front of computer and eating chips with coca cola, sci fi concept art, trending on artstation, highly detailed, intricate, sharp focus, digital art, 8 k in vibrant colors"
"high quality high detail painting by lucian freud and jenny saville, hd, fungi growth, turquoise","high quality high detail painting by lucian freud and jenny saville, hd, fungi growth, turquoise in high contrast"
"film still of Lou Ferigno as hulk in avengers infinity war, 4k","film still of Lou Ferigno as hulk in avengers infinity war, 4k with dim lighting"
"portrait of man wearing chinmail and gambeson over colorful cloth on horseback, holding jousting lance, horse is wearing caparisons, medieval by greg manchess, bernie fuchs, walter everett, lost edges","portrait of man wearing chinmail and gambeson over colorful cloth on horseback, holding jousting lance, horse is wearing caparisons, medieval by greg manchess, bernie fuchs, walter everett, lost edges with dim lighting"
"Portrait of Elmo, D&D, muscular, fantasy, intricate, elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha","Portrait of Elmo, D&D, muscular, fantasy, intricate, elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha with dim lighting"
"Beautiful alchemy urban train that rides inside of a waterway on a fantasy city, next to a fountain and a mystical palace. By Konstantin Razumov, highly detailded","Beautiful alchemy urban train that rides inside of a waterway on a fantasy city, next to a fountain and a mystical palace. By Konstantin Razumov, highly detailded with a cinematic atmosphere"
"epic portrait cinematic shot an yellow planet with a pink atmosphere orbiting around a blue star in space, glowing, stars, nebuale, atmospheric, fine details. night setting. realistic shaded lighting poster by craig mullism, artgerm, jeremy lipkin and michael garmash, unreal engine, radiant light, detailed and intricate environment, digital art, trending on art station,","epic portrait cinematic shot an yellow planet with a pink atmosphere orbiting around a blue star in space, glowing, stars, nebuale, atmospheric, fine details. night setting. realistic shaded lighting poster by craig mullism, artgerm, jeremy lipkin and michael garmash, unreal engine, radiant light, detailed and intricate environment, digital art, trending on art station, in vibrant colors"
james webb telescope crashing into meteor,james webb telescope crashing into meteor with dim lighting
"interior photography of a Microsoft Samsung flagship store in the style of Wes Anderson and Denis Villeneuve, the last jedi, retaildesignblog, dezeen, 14mm, pentax, film","interior photography of a Microsoft Samsung flagship store in the style of Wes Anderson and Denis Villeneuve, the last jedi, retaildesignblog, dezeen, 14mm, pentax, film with a cinematic atmosphere"
"Squirrel/dragon, ferocious, angry, magic the gathering artwork, D&D, fantasy, cinematic lighting, centered, symmetrical, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, volumetric lighting, epic Composition, 8k, art by Akihiko Yoshida and Greg Rutkowski and Craig Mullins, oil painting, cgsociety","Squirrel/dragon, ferocious, angry, magic the gathering artwork, D&D, fantasy, cinematic lighting, centered, symmetrical, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, volumetric lighting, epic Composition, 8k, art by Akihiko Yoshida and Greg Rutkowski and Craig Mullins, oil painting, cgsociety with dramatic shadows"
ink dropped in water in shape of skull,ink dropped in water in shape of skull in high contrast
"isometric seperated game asset, diorama, a lovely cottage, plain background, cory loftis, james gilleard, atey ghailan, makoto shinkai, goro fujita, studio ghibli, exquisite lighting, clear focus, very coherent, soft painting","isometric seperated game asset, diorama, a lovely cottage, plain background, cory loftis, james gilleard, atey ghailan, makoto shinkai, goro fujita, studio ghibli, exquisite lighting, clear focus, very coherent, soft painting with a cinematic atmosphere"
"studio portrait of a wizened old dog, extremely detailed; oil painting by Claude Monet","studio portrait of a wizened old dog, extremely detailed; oil painting by Claude Monet with dim lighting"
"hyper realistic sci - fi matte concept art painting of a cyborg soldier in mass effect - like armor, beautiful details, strong composition painted by kim jung guweta studio rutkowski, james gurney and greg rutkowski, and lucasfilm, smooth, intricate, detailed, sharp focus, cinematic","hyper realistic sci - fi matte concept art painting of a cyborg soldier in mass effect - like armor, beautiful details, strong composition painted by kim jung guweta studio rutkowski, james gurney and greg rutkowski, and lucasfilm, smooth, intricate, detailed, sharp focus, cinematic in high contrast"
a horse with a lions body,a horse with a lions body with dramatic shadows
photo of roots growing down from a ceiling in an underground cavern wrapped around a woman. Fantasy magic horror style. Highly detailed 8k. Intricate. Nikon d850 55mm. Award winning photography. Hr giger. Zdzislaw beksinski. Nekro,photo of roots growing down from a ceiling in an underground cavern wrapped around a woman. Fantasy magic horror style. Highly detailed 8k. Intricate. Nikon d850 55mm. Award winning photography. Hr giger. Zdzislaw beksinski. Nekro with a cinematic atmosphere
"Kodak Portra 400, 8K, highly detailed, Halloween tarot style mask closeup, eye contact, focus on face, famous Halloween tarot remake, trick or treat scene","Kodak Portra 400, 8K, highly detailed, Halloween tarot style mask closeup, eye contact, focus on face, famous Halloween tarot remake, trick or treat scene in vibrant colors"
"Live Action Still of Jerma in Superbad, real life, hyperrealistic, ultra realistic, realistic, highly detailed, epic, HD quality, 8k resolution, body and headshot, film still","Live Action Still of Jerma in Superbad, real life, hyperrealistic, ultra realistic, realistic, highly detailed, epic, HD quality, 8k resolution, body and headshot, film still with dramatic shadows"
"Portrait of a cat as a Mexican wrestler in a mask, sticker, colorful, illustration, highly detailed, simple, smooth and clean vector curves, no jagged lines, vector art, smooth","Portrait of a cat as a Mexican wrestler in a mask, sticker, colorful, illustration, highly detailed, simple, smooth and clean vector curves, no jagged lines, vector art, smooth in vibrant colors"
"detailed details photorealistic faceless nurse silent hill in the style of bob peak and alex ross, gouache and wash paints color, detailed details facial and body and human and environments and proportionate, detailed 5 k details.","detailed details photorealistic faceless nurse silent hill in the style of bob peak and alex ross, gouache and wash paints color, detailed details facial and body and human and environments and proportionate, detailed 5 k details. with dramatic shadows"
"an elderly man playing a wooden flute in a prison cell, canon eos r 3, f / 1. 4, iso 2 0 0, 1 / 1 6 0 s, 8 k, raw, unedited, symmetrical balance, in - frame","an elderly man playing a wooden flute in a prison cell, canon eos r 3, f / 1. 4, iso 2 0 0, 1 / 1 6 0 s, 8 k, raw, unedited, symmetrical balance, in - frame with dim lighting"
"jar jar binks as marble statue by michaelangelo, high lights, 4 k, high detailed photography, 5 0 mm lens, depth of field, cinematic","jar jar binks as marble statue by michaelangelo, high lights, 4 k, high detailed photography, 5 0 mm lens, depth of field, cinematic in vibrant colors"
literally 1 9 8 4,literally 1 9 8 4 with dim lighting
french handsome man with curly short brown hair and a huge nose and a brown goatee with a luxury crown,french handsome man with curly short brown hair and a huge nose and a brown goatee with a luxury crown with a cinematic atmosphere
"A beautiful mixed media art of a skull that is part organic, part mechanic. It is an accurate representation of how the artist sees the world. dolls house by Alfred Kubin balmy","A beautiful mixed media art of a skull that is part organic, part mechanic. It is an accurate representation of how the artist sees the world. dolls house by Alfred Kubin balmy with dim lighting"
"a still from a film of a live action STAR WARS space battle, 35mm, directed by Steven Spielberg, miniatures, ILM, 4k, 1997","a still from a film of a live action STAR WARS space battle, 35mm, directed by Steven Spielberg, miniatures, ILM, 4k, 1997 in vibrant colors"
"planetary city, 2 biggest planets on the horizon of different sizes, intricate, highly detailed, photorealistic, digital painting, artstation, illustration, concept art, smooth, sharp focus, by ansel adams, bernardo bellotto, john collier, albert aublet and krenz cushart","planetary city, 2 biggest planets on the horizon of different sizes, intricate, highly detailed, photorealistic, digital painting, artstation, illustration, concept art, smooth, sharp focus, by ansel adams, bernardo bellotto, john collier, albert aublet and krenz cushart in high contrast"
Walter White performing alongside Kanye West at the Yeezus Tour,Walter White performing alongside Kanye West at the Yeezus Tour in vibrant colors
"Neon cyberpunk cityscape of Toronto with flying cars and advertisement screens, Blender 3D, Unreal Engine, 8k, by Jordan Grimmer and Andrea Pozzo","Neon cyberpunk cityscape of Toronto with flying cars and advertisement screens, Blender 3D, Unreal Engine, 8k, by Jordan Grimmer and Andrea Pozzo with a cinematic atmosphere"
mcbess illustration of a grumpy cat,mcbess illustration of a grumpy cat in vibrant colors
"Concept art Portrait of the ancient historical biblical SNARLING ANGRYING YELLING, jealous king Saul of Israel by craig mullins and marc simonetti, ARTSTATION, cgsociety, polycount, character design, CINEMATIC, AWE INSPIRING, BEAUTIFUL, ART GERM","Concept art Portrait of the ancient historical biblical SNARLING ANGRYING YELLING, jealous king Saul of Israel by craig mullins and marc simonetti, ARTSTATION, cgsociety, polycount, character design, CINEMATIC, AWE INSPIRING, BEAUTIFUL, ART GERM with dramatic shadows"
"idiotic horse - slapping mud moron, albatross idiot of stupid dipstick falling through a shed made of cardboard boxes man","idiotic horse - slapping mud moron, albatross idiot of stupid dipstick falling through a shed made of cardboard boxes man with a cinematic atmosphere"
"a samoyed by andy warhol, digital art, trending on artstation","a samoyed by andy warhol, digital art, trending on artstation with a cinematic atmosphere"
"concept art of a magnificent dark neon futuristic cyberpunk city bustling street at night cyberart by liam wong in the film akira rendered in octane, 3 d render, trending on cgsociety, blender 3 d","concept art of a magnificent dark neon futuristic cyberpunk city bustling street at night cyberart by liam wong in the film akira rendered in octane, 3 d render, trending on cgsociety, blender 3 d in vibrant colors"
"megan fox witch queen, black eyes, blood, full body, intricate victorian dress, cinematic lighting, symmetrical eyes, rafael albuquerque, charlie bowater, moody lighting, candles","megan fox witch queen, black eyes, blood, full body, intricate victorian dress, cinematic lighting, symmetrical eyes, rafael albuquerque, charlie bowater, moody lighting, candles with a cinematic atmosphere"
"realistic beautiful gorgeous natural cute Blackpink Lalisa Manoban pink hair cute fur pink cat ears, wearing white camisole summer outfit, headphones, black leather choker artwork drawn full HD 4K highest quality in artstyle by professional artists WLOP, Aztodio, Taejune Kim, Guweiz on Pixiv Artstation","realistic beautiful gorgeous natural cute Blackpink Lalisa Manoban pink hair cute fur pink cat ears, wearing white camisole summer outfit, headphones, black leather choker artwork drawn full HD 4K highest quality in artstyle by professional artists WLOP, Aztodio, Taejune Kim, Guweiz on Pixiv Artstation with dramatic shadows"
"Joe Biden as an epic anime warrior, 4k","Joe Biden as an epic anime warrior, 4k with dim lighting"
"evil tinckerbell, flawless symmetrical pretty cute face, greg rutkowski, 8 k, shallow depth of field, intricate detail, concept art,","evil tinckerbell, flawless symmetrical pretty cute face, greg rutkowski, 8 k, shallow depth of field, intricate detail, concept art, with dramatic shadows"
"goddess portrait athletic male knight portrait, jellyfish phoenix dragon, butterfly squid, burning halo mandala symmetrical ornament, intricate artwork by simon stalenhag and james jean and beeple and greg rutkowski, coherent symmetrical artwork, cinematic, hyper realism, high detail, octane render, unreal engine, 8k, Vibrant colors, Smooth gradients, High contrast, depth of field","goddess portrait athletic male knight portrait, jellyfish phoenix dragon, butterfly squid, burning halo mandala symmetrical ornament, intricate artwork by simon stalenhag and james jean and beeple and greg rutkowski, coherent symmetrical artwork, cinematic, hyper realism, high detail, octane render, unreal engine, 8k, Vibrant colors, Smooth gradients, High contrast, depth of field with a cinematic atmosphere"
"Darth Vader collects miniature battles of Warhammer 40,000 space marine figurines on his desktop at a table with a bright lamp, realism, depth of field, focus on Darth Vader,","Darth Vader collects miniature battles of Warhammer 40,000 space marine figurines on his desktop at a table with a bright lamp, realism, depth of field, focus on Darth Vader, with a cinematic atmosphere"
"hyperrealistic oil painting of electric hero, beautiful painted face, realistic shaded perfect face, extremely fine details, realistic shaded lighting, dynamic background, 8 k ultra realistic, highly detailed, art by christopher balaskas, alphonse mucha","hyperrealistic oil painting of electric hero, beautiful painted face, realistic shaded perfect face, extremely fine details, realistic shaded lighting, dynamic background, 8 k ultra realistic, highly detailed, art by christopher balaskas, alphonse mucha with dramatic shadows"
"greg manchess concept art of a the cyber elderwood dimension, key visual, ambient lighting, highly detailed, digital painting, artstation, concept art, sharp focus, by makoto shinkai and akihiko yoshida and hidari and wlop and greg rutkowski","greg manchess concept art of a the cyber elderwood dimension, key visual, ambient lighting, highly detailed, digital painting, artstation, concept art, sharp focus, by makoto shinkai and akihiko yoshida and hidari and wlop and greg rutkowski with dramatic shadows"
"an oil on canvas portrait painting of karl marx, surrealism, surrealist, cosmic horror, rob gonsalves, high detail","an oil on canvas portrait painting of karl marx, surrealism, surrealist, cosmic horror, rob gonsalves, high detail in high contrast"
Walter white is a onepiece character,Walter white is a onepiece character with dim lighting
"little boy with cat ears in an black outfit with red cape. digital artwork made by lois van baarle and kentaro miura, sharpness focus, inspired by hirohiko araki, anatomically correct, heroic composition, hero pose, smooth, night city, hd","little boy with cat ears in an black outfit with red cape. digital artwork made by lois van baarle and kentaro miura, sharpness focus, inspired by hirohiko araki, anatomically correct, heroic composition, hero pose, smooth, night city, hd with dramatic shadows"
"ancient monument made of ribs and spines and teeth, gold ram horns, copper goat skulls, grand imposing powerful sculpture. swirls of mist. ominous clouds, intense light beams, lens flare. occult photorealism, uhd, amazing depth, volumetric lighting, cinematic lighting. epic landscape.","ancient monument made of ribs and spines and teeth, gold ram horns, copper goat skulls, grand imposing powerful sculpture. swirls of mist. ominous clouds, intense light beams, lens flare. occult photorealism, uhd, amazing depth, volumetric lighting, cinematic lighting. epic landscape. in vibrant colors"
"wide angle full body portrait of an alien female, a perfect face and perfect body, thin waist, hips, intricate, single face, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, Unreal Engine 5, 8K, art by artgerm and greg rutkowski and alphonse mucha and david cronenberg and h.r. giger","wide angle full body portrait of an alien female, a perfect face and perfect body, thin waist, hips, intricate, single face, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, Unreal Engine 5, 8K, art by artgerm and greg rutkowski and alphonse mucha and david cronenberg and h.r. giger with a cinematic atmosphere"
"photographic portrait of a stunningly beautiful renaissance female in soft dreamy light at sunset, red hair, fre kles, pale skin, contemporary fashion shoot, by edward robert hughes, annie leibovitz and steve mccurry, david lazar, jimmy nelsson, breathtaking, 8 k resolution, extremely detailed, beautiful, establishing shot, artistic, hyperrealistic, beautiful face, octane render","photographic portrait of a stunningly beautiful renaissance female in soft dreamy light at sunset, red hair, fre kles, pale skin, contemporary fashion shoot, by edward robert hughes, annie leibovitz and steve mccurry, david lazar, jimmy nelsson, breathtaking, 8 k resolution, extremely detailed, beautiful, establishing shot, artistic, hyperrealistic, beautiful face, octane render with a cinematic atmosphere"
fran drescher in world war 2,fran drescher in world war 2 in vibrant colors
"a building in a serene landscape, pulp science fiction","a building in a serene landscape, pulp science fiction in high contrast"
3 brilliant stone lifehacks,3 brilliant stone lifehacks in high contrast
"a prisoner lady, detailed interior of medieval dungeon, epic atmosphere, by greg rutkowski, by mohrbacher","a prisoner lady, detailed interior of medieval dungeon, epic atmosphere, by greg rutkowski, by mohrbacher in high contrast"
"your forger, spyxfamily, anime, unreal enging 5, trending on artstation, nixeu","your forger, spyxfamily, anime, unreal enging 5, trending on artstation, nixeu in vibrant colors"
"draft drawing of a woman covering her face with her hands, a sketch by choro choi, thin stroke, trending on artstation, context art, pencil sketch, high detail, kinetic","draft drawing of a woman covering her face with her hands, a sketch by choro choi, thin stroke, trending on artstation, context art, pencil sketch, high detail, kinetic in vibrant colors"
"joseph stalin riding a roller coasters holding a lollipop by thiebaud, wayne","joseph stalin riding a roller coasters holding a lollipop by thiebaud, wayne in vibrant colors"
"a bouquet of flowers, by ilya repin","a bouquet of flowers, by ilya repin in high contrast"
a futuristic sci - fi underwater chamber with mirrored walls,a futuristic sci - fi underwater chamber with mirrored walls with dim lighting
"Bjork climbs out of your TV screen towards you like Sadako, J-Horror, 90s, 35mm film","Bjork climbs out of your TV screen towards you like Sadako, J-Horror, 90s, 35mm film with dramatic shadows"
"bellydancer festival warrior curvy partygirl cinematic, vallejo, diego rivera","bellydancer festival warrior curvy partygirl cinematic, vallejo, diego rivera with dramatic shadows"
"old dead couple on couch with a big black dog in a yellow art deco interior room in the style of Francis Bacon and Syd Mead, open ceiling, highly detailed, painted by Francis Bacon and Edward Hopper, couple and dog painted by James Gilleard, surrealism, airbrush, very coherent, triadic color scheme, art by Takato Yamamoto and James Jean","old dead couple on couch with a big black dog in a yellow art deco interior room in the style of Francis Bacon and Syd Mead, open ceiling, highly detailed, painted by Francis Bacon and Edward Hopper, couple and dog painted by James Gilleard, surrealism, airbrush, very coherent, triadic color scheme, art by Takato Yamamoto and James Jean in vibrant colors"
"highly detailed, high resolution, character design art, stunning, volumetric lightning, realistic guns, girls frontline style, matte, sharp focus, 130mm, illustration, artstation, by yusuke kozaki, professional result, realistic human anatomy, simple design, realistic military gear, metal gear style, realistic face","highly detailed, high resolution, character design art, stunning, volumetric lightning, realistic guns, girls frontline style, matte, sharp focus, 130mm, illustration, artstation, by yusuke kozaki, professional result, realistic human anatomy, simple design, realistic military gear, metal gear style, realistic face with dim lighting"
"detailed factory, digital art, wimmelbilder","detailed factory, digital art, wimmelbilder with dim lighting"
odst drop,odst drop with dramatic shadows
"portrait of a person playing guitar, abstract painting in the style of Sophie Taeuber-Arp and Gary Hume and Tatsuro Kiuchi, flat colour-block style, geometric abstraction, dark colours","portrait of a person playing guitar, abstract painting in the style of Sophie Taeuber-Arp and Gary Hume and Tatsuro Kiuchi, flat colour-block style, geometric abstraction, dark colours with dim lighting"
"full - body portrait surreal colorful clay fighting artstation rpg paladin character concept art anatomy, action pose, very coherent and colorful high contrast masterpiece by norman rockwell franz sedlacek hieronymus bosch dean ellis simon stalenhag rene magritte gediminas pranckevicius, dark shadows, sunny day, hard lighting, reference sheet white! background","full - body portrait surreal colorful clay fighting artstation rpg paladin character concept art anatomy, action pose, very coherent and colorful high contrast masterpiece by norman rockwell franz sedlacek hieronymus bosch dean ellis simon stalenhag rene magritte gediminas pranckevicius, dark shadows, sunny day, hard lighting, reference sheet white! background in high contrast"
"professional high quality wide - angle image of a colorful sports car from the year 2 0 7 7 that is badly damaged and crashed halfway into the water at a stevedoring port. ( 2 0 7 7 kodachrome panavision ). the weather is sunny but with a small rain cloud. imax 7 0 mm, wide - angle.","professional high quality wide - angle image of a colorful sports car from the year 2 0 7 7 that is badly damaged and crashed halfway into the water at a stevedoring port. ( 2 0 7 7 kodachrome panavision ). the weather is sunny but with a small rain cloud. imax 7 0 mm, wide - angle. in high contrast"
"kerala school boys wearing girls dresses posing for a photo, an epic fantasy, dramatic lighting, cinematic, establishing shot, extremely high detail, photorealistic, cinematic lighting, artstation, matte painting by simon stalenhag, horizon forbidden west","kerala school boys wearing girls dresses posing for a photo, an epic fantasy, dramatic lighting, cinematic, establishing shot, extremely high detail, photorealistic, cinematic lighting, artstation, matte painting by simon stalenhag, horizon forbidden west in vibrant colors"
"a giant colorful nudibranch in the foreground in front of a massive rusty brutalist industrial plant, glowing windows, biomechanical, biopunk, nighttime, low key, dark, gloomy, hazy, spotlights, leds, dramatic lighting, watch tower, helicopter, vignette, art by hr giger, digital art","a giant colorful nudibranch in the foreground in front of a massive rusty brutalist industrial plant, glowing windows, biomechanical, biopunk, nighttime, low key, dark, gloomy, hazy, spotlights, leds, dramatic lighting, watch tower, helicopter, vignette, art by hr giger, digital art in vibrant colors"
"ninja, hovering above foggy lake, trending on artstation, manga style 4 k","ninja, hovering above foggy lake, trending on artstation, manga style 4 k in vibrant colors"
"obituary for an alchemist at night. painting by uccello paolo, piero della francesca","obituary for an alchemist at night. painting by uccello paolo, piero della francesca in vibrant colors"
"indian god, close - up portrait, powerfull, intricate, elegant, volumetric lighting, scenery, digital painting, highly detailed, artstation, sharp focus, illustration, concept art, ruan jia, steve mccurry","indian god, close - up portrait, powerfull, intricate, elegant, volumetric lighting, scenery, digital painting, highly detailed, artstation, sharp focus, illustration, concept art, ruan jia, steve mccurry with dim lighting"
"The drawing features a human figure driving a chariot. The figure is skeletal and frail, with a large head and eyes. The chariot is pulled by two animals, which are also skeletal and frail. in the Central African Republic by Atey Ghailan unified","The drawing features a human figure driving a chariot. The figure is skeletal and frail, with a large head and eyes. The chariot is pulled by two animals, which are also skeletal and frail. in the Central African Republic by Atey Ghailan unified in vibrant colors"
"flock of ravens made of black! rose petals!!, expressionist, album art, by bridget riley","flock of ravens made of black! rose petals!!, expressionist, album art, by bridget riley in vibrant colors"
"Portrait of a woman with bangs in style of 80s surrealism art, hyper-detailed","Portrait of a woman with bangs in style of 80s surrealism art, hyper-detailed in vibrant colors"
"portrait of Donal Glover, abstract, art by Greg Rutkowski, matte painting, trending on artstation","portrait of Donal Glover, abstract, art by Greg Rutkowski, matte painting, trending on artstation in high contrast"
riven league of legends wild rift hero champions arcane magic digital painting bioluminance alena aenami artworks in 4 k design by lois van baarle by sung choi by john kirby artgerm and greg rutkowski and magali villeneuve mage fighter assassin,riven league of legends wild rift hero champions arcane magic digital painting bioluminance alena aenami artworks in 4 k design by lois van baarle by sung choi by john kirby artgerm and greg rutkowski and magali villeneuve mage fighter assassin with dim lighting
"metabots medabots medarotto medarot robot minimalist comics, behance hd by jesper ejsing, by rhads, makoto shinkai and lois van baarle, ilya kuvshinov, rossdraws global illumination ray tracing hdr radiating a glowing aura","metabots medabots medarotto medarot robot minimalist comics, behance hd by jesper ejsing, by rhads, makoto shinkai and lois van baarle, ilya kuvshinov, rossdraws global illumination ray tracing hdr radiating a glowing aura with a cinematic atmosphere"
"Warrior Dolphins fighting in the Battle of Midway, WWII battleships fighting Japanese aircraft carriers","Warrior Dolphins fighting in the Battle of Midway, WWII battleships fighting Japanese aircraft carriers in high contrast"
hyper realistic terror photo Doom furious glowing red eyes biden,hyper realistic terror photo Doom furious glowing red eyes biden with a cinematic atmosphere
"portrait of emmanuel macron dressed as napoleon in a paris street dragging a cannon behind him, natural light, sharp, detailed face, magazine, press, photo, steve mccurry, david lazar, canon, nikon, focus","portrait of emmanuel macron dressed as napoleon in a paris street dragging a cannon behind him, natural light, sharp, detailed face, magazine, press, photo, steve mccurry, david lazar, canon, nikon, focus in vibrant colors"
"an arrogant goblin steps casually into the abyssal portal, only to be met with unimaginable horrors from beyond. his body and mind are completely annihilated as he witnesses the end of time. space itself begins to warp into a single point of light and for a few silent moments the goblin knows everything, from his world and beyond. dark fantasy, oil painting, high detail","an arrogant goblin steps casually into the abyssal portal, only to be met with unimaginable horrors from beyond. his body and mind are completely annihilated as he witnesses the end of time. space itself begins to warp into a single point of light and for a few silent moments the goblin knows everything, from his world and beyond. dark fantasy, oil painting, high detail with dramatic shadows"
kingdom hearts sora cosplay near waterfall low angle detailed face 85mm,kingdom hearts sora cosplay near waterfall low angle detailed face 85mm in vibrant colors
luffy by kim jung gi,luffy by kim jung gi in vibrant colors
